oid	kind	category	name	args	return	comment	file
58302	f	exchange	get_exchange_sell_orders	in_id bigint, in_exchange_id bigint, in_min_item_price bigint, in_max_item_price bigint, in_template_id text, in_mask integer, in_depth smallint	TABLE(id bigint, revision bigint, expiration_time bigint, access_point_id bigint, ap_name text, owner_id bigint, template_id text, stack_size bigint, initial_stack_size bigint, item_price bigint, quality_level bigint, durability_cur real, durability_max real, dynamic_stats jsonb)		functions/exchange/get_exchange_sell_orders__7args.sql
58303	f	inventory	get_exchange_sell_orders_by_item_type	in_exchange_id bigint, in_template_ids text[]	TABLE(id bigint, revision bigint, expiration_time bigint, access_point_id bigint, ap_name text, owner_id bigint, template_id text, stack_size bigint, initial_stack_size bigint, item_price bigint, quality_level bigint, durability_cur real, durability_max real, dynamic_stats jsonb)		functions/inventory/get_exchange_sell_orders_by_item_type__2args.sql
58304	f	exchange	get_exchange_sell_orders_by_owner	in_exchange_id bigint, in_owner_id bigint	TABLE(id bigint, revision bigint, expiration_time bigint, access_point_id bigint, ap_name text, owner_id bigint, template_id text, stack_size bigint, initial_stack_size bigint, item_price bigint, quality_level bigint, durability_cur real, durability_max real, dynamic_stats jsonb)		functions/exchange/get_exchange_sell_orders_by_owner__2args.sql
58305	f	farm	get_farm_state		TABLE(server_id text, farm_id text, outgoing_s2s_connections integer, incoming_s2s_connections integer, connected_players integer, igw_addr inet, igw_port integer, game_addr inet, game_port integer, ready boolean, alive boolean, map text, revision integer)		functions/farm/get_farm_state__0args.sql
58306	f	misc	get_friends_search	in_player_name text, in_max_players_count integer	TABLE(player_id bigint, character_name text, funcom_id text, platform_id text, platform_name text)		functions/misc/get_friends_search__2args.sql
58307	f	guild	get_guild_data	in_guild_id bigint	TABLE(guild_name text, guild_faction_id smallint, guild_description text)		functions/guild/get_guild_data__1args.sql
58308	f	guild	get_guild_data_for_player	in_player_id bigint	TABLE(guild_id bigint, guild_factions_id smallint, guild_name text, guild_description text, player_id bigint, role_id smallint, player_faction_id smallint)		functions/guild/get_guild_data_for_player__1args.sql
58309	f	guild	get_guild_for_player	in_player_id bigint	bigint		functions/guild/get_guild_for_player__1args.sql
58310	f	guild	get_guild_invites	in_guild_id bigint	TABLE(invite_id bigint, player_id bigint, sender_player_id bigint, invite_sent_timespan bigint, character_name text, sender_character_name text)		functions/guild/get_guild_invites__1args.sql
58311	f	guild	get_guild_members	in_guild_id bigint	TABLE(player_id bigint, role_id smallint, player_faction_id smallint)		functions/guild/get_guild_members__1args.sql
58312	f	inventory	get_inventory_data	in_inventory_id bigint	dune.inventorydata		functions/inventory/get_inventory_data__1args.sql
58313	f	inventory	get_inventory_id	in_actor_id bigint, in_component_name_hash integer	bigint		functions/inventory/get_inventory_id__2args.sql
